EmployeeID	Survey	I would recommend my friends or Family to work at TheCompany	I feel engaged in my work.	I believe Leadership cares about the employees at TheCompany	My manager supports me in my role at TheCompany	"TheCompany cares about Diversity, Equity and Inclusion."	I believe there is room for me to grow at TheCompany	I work on interesting projects.	My manager motivates me to work hard.	I am motivated to work hard at TheCompany.	I believe I am recognized for the work I do.	I believe there are good career opportunities for me at TheCompany.	I believe TheCompany is in a great position in the market for the next few years to be succesful.	I plan on staying with TheCompany for at least 2 more years.	I believe I am fairly compensated for my work.	I believe there is little to not politics at TheCompany	I feel comfortable going to someone in leadership if there is an issue.	My values align with the culture at TheCompany	I know what TheCompany values are at TheCompany	I feel like I can take off my accrued Paid Time Off (PTO)/Vacation without feeling guilty	What does TheCompany do well?	What can TheCompany improve?
100690	2023Q2	4	4	3	3	2	3	2	4	4	3	4	4	2	3	3	4	2	4	4		
100691	2023Q2	3	1	3	2	5	4	3	3	4	3	4	4	4	2	2	3	4	1	3		
100694	2023Q2	4	2	3	1	4	1	3	1	4	3	3	4	4	4	3	3	3	3	4		
100695	2023Q2	4	3	2	2	4	2	1	4	4	3	3	2	3	4	2	4	2	1	1		
100696	2023Q2	3	1	1	3	4	1	2	3	1	4	4	4	4	4	4	2	3	2	3		
100698	2023Q2	4	1	1	2	2	4	4	2	2	2	4	4	3	3	3	3	2	2	2		
100700	2023Q2	4	4	3	3	2	3	5	3	3	1	3	4	4	4	2	3	1	2	4		
100705	2023Q2	4	4	4	2	3	3	3	2	1	5	4	4	2	3	2	4	4	3	4		
100706	2023Q2	4	3	2	1	1	1	4	4	2	2	4	4	4	2	3	4	3	4	4		
100707	2023Q2	3	4	3	4	3	2	2	3	3	1	4	1	4	3	2	4	3	2	3		
100708	2023Q2	2	3	3	4	3	2	3	2	2	2	2	3	2	3	3	4	4	3	2		
100715	2023Q2	4	2	2	4	2	2	2	4	3	4	4	2	2	4	3	4	3	4	1		
100718	2023Q2	4	4	4	2	3	3	3	4	2	3	4	1	1	4	3	4	3	3	3		
100720	2023Q2	3	2	4	1	2	2	2	2	4	3	3	2	3	3	3	4	2	2	4		
100722	2023Q2	4	3	1	3	2	4	3	4	2	4	4	4	4	2	3	3	4	4	3		
100723	2023Q2	4	3	4	3	2	2	3	4	3	3	3	4	3	3	2	2	1	3	3		
100724	2023Q2	4	4	3	2	3	3	4	2	4	4	4	3	2	2	4	4	3	1	2		
100726	2023Q2	2	3	3	3	3	2	3	2	3	2	4	1	4	4	3	4	4	4	4		
100730	2023Q2	3	4	4	2	4	4	3	2	4	1	4	2	4	1	2	3	4	2	3		
100732	2023Q2	1	3	2	2	4	3	3	2	4	3	3	4	3	4	2	3	2	4	2		
100733	2023Q2	4	3	1	4	4	1	3	4	4	4	3	3	3	3	2	3	2	5	2		
100734	2023Q2	3	4	4	2	1	3	4	1	4	3	2	4	1	2	2	2	2	3	2		
100735	2023Q2	4	3	4	3	4	2	1	2	4	3	4	4	1	4	2	4	3	4	4		
100737	2023Q2	4	4	2	4	2	5	3	1	1	2	3	3	2	1	3	4	3	4	1		
100738	2023Q2	3	2	2	2	2	3	4	3	2	3	4	2	2	3	2	4	4	2	1		
100740	2023Q2	3	4	4	2	4	3	4	4	4	4	4	3	3	3	2	1	2	4	2		
100741	2023Q2	1	4	3	3	2	2	4	1	4	3	3	4	5	3	3	4	3	2	3		
100743	2023Q2	4	4	2	3	5	3	3	2	3	1	2	1	4	4	1	3	4	3	3		
100744	2023Q2	3	2	2	3	4	2	4	2	4	4	3	4	4	4	4	4	3	1	2		
100745	2023Q2	2	2	2	2	2	1	4	4	2	4	4	4	3	3	3	3	2	2	2		
100749	2023Q2	2	3	3	1	3	2	1	4	1	2	3	4	4	4	4	3	4	2	3		
100750	2023Q2	2	4	3	4	3	4	3	4	3	3	4	3	3	4	3	1	4	1	2		
100751	2023Q2	4	4	3	4	3	4	2	4	4	3	4	3	2	4	4	2	3	3	2		
100752	2023Q2	2	4	4	2	3	1	4	1	1	1	4	2	2	4	3	4	3	2	2		
100760	2023Q2	2	1	2	2	4	2	2	3	4	3	1	3	1	4	2	4	1	3	2		
100761	2023Q2	4	1	3	3	3	4	3	2	3	2	3	5	4	4	4	3	4	4	2		
100762	2023Q2	2	3	2	2	1	1	3	4	3	4	5	3	2	4	2	4	2	4	4		
100763	2023Q2	1	3	1	5	2	3	2	4	4	4	2	4	3	3	4	4	4	3	4		
100765	2023Q2	2	4	2	4	3	4	3	1	3	4	4	3	4	4	4	3	3	4	3		
100766	2023Q2	4	4	1	3	2	3	2	4	3	2	4	3	2	2	3	3	2	2	4		
100767	2023Q2	4	2	4	4	2	3	2	4	4	4	3	3	1	3	2	4	4	4	2		
100771	2023Q2	4	4	4	2	3	4	3	4	2	2	4	1	1	3	2	2	5	1	4		
100772	2023Q2	4	4	1	2	4	4	4	3	2	3	5	3	2	3	4	4	3	3	2		
100774	2023Q2	3	1	4	2	2	2	4	3	2	4	3	3	4	2	4	2	3	3	2		
100775	2023Q2	3	4	2	3	1	2	4	4	1	4	3	2	4	4	1	1	3	3	2		
100777	2023Q2	2	4	4	2	3	3	3	1	4	3	3	3	3	3	4	4	2	4	1		
100778	2023Q2	3	4	3	2	4	3	3	1	3	3	4	2	2	3	4	4	4	4	1		
100779	2023Q2	4	3	4	4	2	4	2	2	4	2	3	4	2	3	2	2	1	2	4		
100781	2023Q2	2	4	2	2	1	2	4	3	3	3	2	2	3	4	4	3	3	4	2		
100782	2023Q2	4	1	4	1	2	4	2	4	2	3	4	4	3	3	3	4	3	4	3		
100784	2023Q2	4	4	4	4	4	4	4	3	3	4	3	2	3	3	2	4	5	3	4		
100785	2023Q2	3	4	3	1	4	4	4	2	4	2	3	2	4	2	1	4	3	1	4		
100786	2023Q2	1	2	3	4	4	4	3	2	2	4	3	3	2	4	2	2	5	4	2		
100788	2023Q2	4	4	3	1	3	3	4	1	3	3	1	4	2	4	5	3	2	4	3		
100789	2023Q2	2	4	3	3	2	3	2	4	4	2	4	4	2	2	4	3	3	1	4		
100791	2023Q2	2	4	3	4	2	4	2	2	1	4	2	1	3	4	2	4	2	3	4		
100793	2023Q2	1	1	1	1	3	3	4	3	1	3	2	5	4	2	3	5	2	1	4		
100794	2023Q2	2	3	3	4	4	4	3	4	2	2	3	3	4	2	3	4	2	4	2		
100795	2023Q2	4	3	4	3	4	4	4	2	3	1	1	2	4	3	4	4	2	4	4		
100797	2023Q2	2	4	3	4	3	2	4	4	2	1	2	2	1	2	4	1	4	2	4		
100798	2023Q2	2	3	2	3	3	3	3	1	3	4	4	4	1	4	2	3	4	4	4		
100804	2023Q2	3	2	1	2	2	3	2	2	3	3	1	4	3	3	4	2	2	4	4		
100805	2023Q2	2	4	3	4	4	3	3	3	4	1	2	2	4	4	4	2	4	3	4		
100806	2023Q2	3	1	3	4	4	2	3	3	3	4	1	3	4	3	2	4	3	4	2		
100809	2023Q2	3	1	2	3	2	4	4	2	2	4	3	3	4	4	4	4	4	4	3		
100813	2023Q2	3	3	4	3	2	2	2	2	3	2	2	3	2	4	4	3	4	2	4		
100814	2023Q2	3	1	2	3	1	3	3	2	4	3	3	4	3	3	2	4	2	2	4		
100815	2023Q2	2	4	2	4	4	3	3	3	4	2	2	3	2	1	3	4	2	2	3		
100816	2023Q2	3	3	1	4	4	4	2	4	4	2	3	2	3	2	4	4	4	3	1		
100817	2023Q2	2	4	4	5	5	4	4	4	3	2	4	3	4	3	4	3	4	2	4		
100818	2023Q2	2	3	3	1	3	2	3	4	2	4	2	4	4	2	4	3	4	2	2		
100820	2023Q2	2	2	2	4	4	4	4	1	4	4	2	2	2	2	3	3	3	4	1		
100821	2023Q2	2	2	2	1	2	3	1	4	2	4	4	5	4	2	4	1	3	3	4		
100823	2023Q2	4	4	4	3	4	3	4	4	3	2	3	3	1	1	4	3	4	3	4		
100826	2023Q2	4	4	4	4	2	4	3	4	1	4	1	4	1	3	1	3	2	4	3		
100827	2023Q2	4	3	4	2	4	2	2	2	3	2	4	2	1	2	1	1	3	4	1		
100829	2023Q2	2	3	4	2	2	3	4	2	3	1	2	2	1	4	4	1	2	4	3		
100833	2023Q2	1	2	3	2	3	4	4	3	4	4	2	3	4	2	3	4	2	2	4		
100834	2023Q2	4	4	3	4	2	4	1	1	4	1	2	4	4	4	1	2	4	1	3		
100835	2023Q2	1	4	2	4	4	2	3	3	3	3	3	4	4	3	4	3	3	2	2		
100836	2023Q2	3	4	2	3	4	3	3	4	3	4	1	4	2	1	1	2	2	4	3		
100837	2023Q2	1	2	2	2	2	4	4	4	1	4	3	3	2	2	1	4	3	2	2		
100840	2023Q2	3	3	2	4	3	1	2	4	3	4	2	4	4	4	2	4	1	4	4		
100841	2023Q2	4	4	1	4	2	3	2	3	4	2	3	2	2	3	1	2	4	2	2		
100842	2023Q2	3	3	3	3	3	4	2	2	4	4	1	4	3	4	2	2	2	3	3		
100844	2023Q2	2	4	4	2	5	4	4	2	2	2	4	1	4	1	3	4	3	2	2		
100847	2023Q2	4	2	2	5	3	2	3	4	2	2	2	4	2	2	3	2	2	4	3		
100849	2023Q2	3	2	4	2	3	4	3	2	4	4	3	4	4	4	4	1	4	3	2		
100850	2023Q2	2	4	3	4	1	4	3	2	4	3	3	4	2	3	2	3	2	4	4		
100853	2023Q2	4	4	3	2	1	1	4	2	4	4	4	1	3	2	3	4	4	3	3		
100854	2023Q2	4	4	4	4	2	2	4	3	4	4	1	4	2	3	4	3	3	4	3		
100857	2023Q2	3	2	2	4	4	2	4	4	3	2	4	4	4	4	4	4	4	4	2		
100859	2023Q2	2	4	3	2	2	4	4	3	2	1	2	2	4	4	4	1	3	2	4		
100860	2023Q2	2	4	4	4	4	3	2	4	2	2	3	3	3	3	2	3	2	2	4		
100861	2023Q2	3	2	4	3	3	1	3	4	2	2	4	2	1	3	4	4	3	4	2		
100862	2023Q2	4	2	4	3	1	2	3	3	2	4	4	4	2	1	3	4	2	2	4		
100863	2023Q2	4	1	2	3	4	3	3	4	3	3	3	4	2	2	4	4	4	1	4		
100864	2023Q2	3	2	4	3	1	2	3	2	1	4	1	4	3	2	2	3	2	4	4		
100865	2023Q2	2	3	2	4	2	3	4	3	3	4	3	4	2	4	2	2	3	4	4		
100869	2023Q2	1	2	3	1	3	1	3	4	1	3	2	3	2	4	5	4	3	4	4		
100870	2023Q2	4	1	3	4	3	1	3	1	3	2	3	2	2	1	1	3	4	2	4		
100872	2023Q2	4	3	4	4	3	4	2	3	4	4	3	2	4	3	4	3	2	1	2		
100875	2023Q2	2	2	2	1	3	4	5	2	3	3	2	4	3	3	4	2	4	4	4		
100876	2023Q2	4	3	4	4	4	2	4	3	2	3	4	4	4	4	3	4	3	3	2		
100880	2023Q2	4	4	3	2	3	3	4	4	2	4	4	4	3	2	4	3	2	4	4		
100881	2023Q2	2	2	4	4	1	3	4	4	4	4	5	1	4	3	1	2	3	2	2		
100882	2023Q2	3	3	3	4	2	4	3	4	2	3	3	3	2	3	3	2	4	2	1		
100883	2023Q2	4	3	3	4	2	1	4	3	4	4	4	3	5	3	3	2	2	3	1		
100884	2023Q2	4	3	4	4	2	2	3	4	4	3	4	1	1	4	2	4	2	3	1		
100885	2023Q2	2	1	3	4	3	1	4	3	2	4	4	4	4	2	4	2	2	3	1		
100886	2023Q2	3	4	4	4	4	4	3	3	1	1	3	3	3	4	3	4	4	2	3		
100887	2023Q2	3	4	2	2	3	4	2	3	3	3	4	3	3	1	4	4	2	4	3		
100889	2023Q2	1	4	4	3	4	2	2	2	4	2	3	3	4	3	4	3	3	4	4		
100891	2023Q2	3	4	4	4	2	3	3	4	2	2	3	3	4	3	2	3	4	4	1		
100894	2023Q2	4	2	4	1	4	2	3	2	2	4	4	3	4	1	3	3	3	4	4		
100895	2023Q2	3	3	2	4	1	2	4	4	3	2	2	4	2	2	3	3	4	3	4		
100896	2023Q2	3	1	2	2	2	2	3	3	2	4	3	4	2	4	2	3	4	4	3		
100899	2023Q2	2	2	2	2	2	4	4	1	3	2	4	3	4	4	3	4	5	4	2		
100905	2023Q2	3	1	3	3	4	4	4	4	3	4	2	4	2	2	4	1	3	4	4		
100906	2023Q2	4	2	4	3	4	3	4	4	2	4	1	3	4	2	3	4	3	4	3		
100907	2023Q2	4	2	1	4	1	3	3	3	3	3	3	4	1	4	3	3	3	4	2		
100910	2023Q2	4	4	3	1	2	4	4	1	4	2	4	4	2	4	4	4	3	4	1		
100911	2023Q2	2	4	2	2	2	4	3	2	3	2	3	3	2	4	1	1	4	4	1		
100912	2023Q2	3	2	3	1	4	3	4	3	4	3	4	2	1	2	1	4	3	2	2		
100917	2023Q2	2	3	4	2	4	4	3	3	2	4	3	3	3	3	3	3	1	4	2		
100920	2023Q2	2	4	3	3	2	4	3	2	3	1	4	4	4	4	1	4	1	3	2		
100921	2023Q2	2	4	3	3	1	3	3	3	2	4	2	4	2	2	4	4	2	3	3		
100923	2023Q2	4	1	2	2	4	4	4	4	2	4	3	2	4	4	1	1	2	3	4		
100925	2023Q2	3	2	3	4	2	4	3	1	4	4	1	2	1	3	2	2	3	3	3		
100926	2023Q2	4	3	3	4	3	2	3	2	4	3	2	3	4	3	3	3	4	2	3		
100934	2023Q2	3	3	4	4	3	4	4	2	4	4	4	3	3	4	1	3	4	2	4		
100936	2023Q2	4	4	4	1	3	3	3	4	2	3	1	4	4	3	3	3	2	2	3		
100937	2023Q2	2	4	3	3	2	4	1	3	4	4	3	4	2	3	3	2	1	1	2		
100939	2023Q2	4	3	4	4	3	1	2	2	2	3	4	3	2	1	4	3	3	1	3		
100942	2023Q2	4	2	2	3	4	2	1	1	4	2	3	2	4	3	1	4	2	4	4		
100945	2023Q2	2	4	1	4	3	1	1	2	1	4	5	4	3	3	4	2	4	3	2		
100946	2023Q2	4	4	4	3	4	1	2	1	2	4	4	4	1	4	2	2	1	4	3		
100947	2023Q2	2	4	2	2	2	4	3	3	4	3	3	3	4	4	4	1	2	3	3		
100950	2023Q2	4	3	3	2	2	4	2	3	3	4	3	2	3	4	4	4	4	3	2		
100952	2023Q2	2	3	4	1	3	3	1	4	3	2	4	4	3	4	4	2	5	4	4		
100955	2023Q2	4	2	4	2	3	3	4	2	4	2	2	1	4	4	3	4	3	2	1		
100956	2023Q2	3	3	3	4	4	1	1	2	4	3	4	4	2	1	3	4	4	4	2		
100957	2023Q2	2	1	3	2	2	4	2	1	2	4	4	3	2	4	3	5	2	3	4		
100958	2023Q2	3	4	4	4	3	4	2	4	3	4	3	3	3	2	3	2	3	2	2		
100961	2023Q2	2	4	4	2	4	3	4	3	4	3	3	4	3	4	4	4	3	4	1		
100962	2023Q2	3	3	3	3	4	2	3	4	3	3	4	4	4	2	1	2	2	2	4		
100964	2023Q2	2	3	2	4	4	2	4	3	2	3	4	3	4	2	1	1	3	5	4		
100967	2023Q2	4	1	2	2	4	2	1	3	2	4	4	4	2	4	2	3	2	2	2		
100969	2023Q2	3	4	4	3	4	3	3	2	3	4	3	3	1	4	2	4	4	4	2		
100970	2023Q2	2	3	4	4	4	2	4	4	3	2	2	4	1	4	2	1	4	3	2		
100972	2023Q2	1	5	2	2	3	2	4	1	4	2	4	4	4	4	3	4	1	2	4		
100973	2023Q2	3	4	2	3	3	1	4	2	1	2	2	4	4	2	2	1	1	1	2		
100975	2023Q2	4	4	2	4	3	3	2	4	2	4	1	1	3	4	4	1	4	2	4		
100980	2023Q2	3	2	4	3	4	3	3	3	4	3	3	4	4	4	4	3	4	2	2		
100982	2023Q2	4	2	4	4	4	3	4	1	3	3	4	3	4	4	4	4	3	3	3		
100983	2023Q2	2	3	2	4	3	2	3	4	3	2	2	4	3	4	3	2	4	2	4		
100987	2023Q2	4	4	2	2	1	4	4	2	2	2	3	3	1	4	3	4	3	1	3		
100988	2023Q2	2	2	2	3	4	4	3	2	4	4	1	3	2	3	1	4	1	3	4		
100989	2023Q2	4	4	4	2	4	2	4	2	2	2	3	4	3	3	2	1	2	1	2		
100994	2023Q2	4	4	3	2	2	3	2	3	4	4	4	4	1	4	4	4	1	3	4		
100997	2023Q2	2	4	1	3	3	4	4	3	3	3	2	2	2	1	4	4	1	4	2		
101000	2023Q2	4	4	3	2	2	2	3	2	3	3	3	2	3	2	1	4	3	4	3		
101001	2023Q2	4	3	4	4	2	3	2	4	4	2	1	3	2	3	3	3	4	3	4		
101003	2023Q2	3	4	1	4	3	4	1	2	3	1	2	4	2	4	4	3	1	4	2		
101005	2023Q2	2	4	2	4	4	3	1	4	3	4	4	3	4	4	3	3	4	4	2		
101006	2023Q2	4	2	4	4	1	4	3	3	2	4	3	3	2	4	2	4	2	3	2		
101007	2023Q2	4	4	3	1	1	3	4	3	3	3	4	4	4	3	3	4	4	1	2		
101008	2023Q2	3	2	4	2	2	2	3	2	4	2	3	4	2	4	3	4	4	4	3		
101011	2023Q2	2	3	4	3	2	4	2	4	4	4	3	2	2	2	2	4	4	2	5		
101017	2023Q2	2	3	3	3	2	3	4	3	3	2	4	3	2	4	2	4	1	2	1		
101020	2023Q2	1	4	1	3	2	4	4	4	4	1	1	2	4	4	3	2	2	3	3		
101021	2023Q2	3	3	4	3	2	4	4	4	1	1	1	1	2	2	2	2	3	4	4		
101026	2023Q2	1	2	1	3	4	3	4	3	4	2	3	3	2	2	4	3	1	1	4		
101027	2023Q2	2	3	3	2	2	1	4	4	4	3	4	4	3	1	4	1	1	4	3		
101030	2023Q2	4	3	4	2	3	1	3	2	4	3	4	4	2	3	3	4	3	4	2		
101031	2023Q2	2	4	4	4	2	2	3	2	4	3	3	3	4	3	3	1	2	4	4		
101032	2023Q2	2	4	4	2	3	2	4	3	2	4	2	4	4	3	4	4	4	3	2		
101033	2023Q2	4	3	3	4	3	4	3	3	3	2	3	3	2	4	1	1	2	2	1		
101034	2023Q2	4	4	2	2	4	3	5	3	4	3	2	4	3	1	3	4	4	4	2		
101036	2023Q2	3	4	2	2	4	4	1	4	2	4	3	4	3	4	3	3	4	1	4		
101037	2023Q2	4	4	3	2	3	4	3	4	4	4	2	4	2	3	5	3	2	3	3		
101038	2023Q2	4	4	2	4	2	2	1	2	4	3	4	4	2	3	2	2	2	2	2		
101039	2023Q2	2	2	3	3	3	4	3	2	3	4	3	4	4	3	4	3	3	4	4		
101040	2023Q2	4	4	3	3	3	3	4	5	2	2	2	4	3	4	2	1	3	3	2		
101044	2023Q2	3	1	4	4	4	2	4	4	2	4	4	4	4	4	2	3	2	2	3		
101046	2023Q2	3	3	4	2	4	1	3	4	4	3	4	2	2	4	3	4	3	5	2		
101047	2023Q2	4	5	2	3	3	1	2	4	2	4	2	4	3	2	4	3	2	3	2		
101050	2023Q2	4	3	3	2	3	3	3	4	2	4	4	4	3	2	2	3	1	1	2		
101052	2023Q2	3	4	2	3	4	4	4	1	3	3	3	2	2	2	4	3	4	2	4		
101054	2023Q2	2	4	3	4	4	3	4	4	3	3	3	2	4	3	2	2	2	4	4		
101058	2023Q2	3	4	3	4	3	4	4	4	3	4	4	3	3	3	2	4	3	1	2		
101059	2023Q2	4	4	1	2	4	4	4	3	2	4	1	2	3	3	4	2	4	4	3		
101061	2023Q2	1	2	4	3	3	2	4	3	3	4	3	3	4	4	3	4	4	2	2		
101062	2023Q2	4	4	3	4	3	4	3	4	1	4	4	3	4	4	4	2	4	4	4		
101065	2023Q2	1	3	4	4	3	4	2	4	3	3	2	3	3	3	4	4	2	4	4		
101066	2023Q2	3	2	4	2	1	2	3	3	2	2	4	3	1	4	3	4	4	4	3		
101067	2023Q2	2	2	2	3	4	4	4	2	4	2	2	2	4	4	2	4	3	3	3		
101070	2023Q2	3	1	2	3	2	3	1	4	3	5	2	2	4	1	2	4	4	2	4		
101071	2023Q2	3	3	4	3	1	3	4	1	4	1	3	2	4	3	4	2	4	4	3		
101073	2023Q2	4	4	4	3	2	2	1	3	4	4	3	3	3	3	4	2	2	2	3		
101077	2023Q2	2	4	1	3	2	4	4	3	2	4	1	2	2	3	3	2	3	4	4		
101078	2023Q2	4	4	4	4	2	3	4	4	1	2	4	4	3	4	3	3	2	4	1		
101079	2023Q2	3	3	4	4	3	3	2	4	4	3	3	3	4	3	1	4	3	4	4		
101081	2023Q2	1	2	2	3	1	2	2	4	2	3	4	4	3	4	4	2	4	4	2		
101083	2023Q2	4	1	2	4	2	4	3	2	3	3	3	4	4	2	4	4	2	4	3		
101084	2023Q2	3	3	2	3	3	2	2	2	4	4	2	4	2	3	4	2	3	4	2		
101085	2023Q2	2	2	3	3	3	3	5	4	3	3	3	1	4	4	3	4	2	4	2		
101089	2023Q2	2	3	4	3	4	3	5	4	3	1	2	4	2	2	2	3	3	4	3		
101091	2023Q2	3	3	2	2	1	3	4	2	4	3	4	4	4	4	2	4	2	4	3		
101093	2023Q2	4	2	2	4	4	4	4	4	2	2	3	5	3	3	3	4	3	2	1		
101094	2023Q2	3	4	2	4	2	1	4	4	4	4	2	3	2	2	3	2	4	3	2		
101097	2023Q2	2	3	3	4	2	4	3	4	3	4	3	2	2	4	3	4	4	3	3		
101098	2023Q2	4	3	4	2	4	4	3	3	3	5	2	3	1	3	3	2	2	3	2		
101103	2023Q2	4	4	3	2	4	4	3	4	3	4	3	2	4	4	2	3	2	4	4		
101107	2023Q2	3	4	4	1	4	3	2	5	3	1	4	4	2	2	3	1	2	3	3		
101109	2023Q2	4	1	3	4	1	4	4	3	1	3	2	4	3	2	2	4	4	4	1		
101110	2023Q2	2	4	3	2	4	3	4	3	3	2	4	4	2	1	3	3	4	3	4		
101111	2023Q2	3	3	4	4	2	1	3	4	3	4	4	3	4	2	3	1	4	2	4		
101118	2023Q2	4	3	3	4	2	4	3	2	2	3	2	2	4	4	4	4	2	2	3		
101123	2023Q2	4	2	4	3	2	3	4	1	3	2	3	4	1	2	3	3	3	3	2		
101124	2023Q2	4	4	3	4	4	4	3	2	4	4	4	4	1	3	2	2	1	4	3		
101125	2023Q2	4	3	4	2	3	2	1	2	2	2	3	2	4	3	4	2	3	3	2		
101127	2023Q2	3	2	1	2	3	4	3	4	3	4	4	4	3	3	3	2	1	4	1		
101128	2023Q2	2	3	2	3	2	4	1	4	4	4	4	2	1	4	4	1	4	4	4		
101131	2023Q2	5	3	3	4	2	4	3	4	4	4	4	4	4	2	2	2	4	1	2		
101132	2023Q2	3	2	2	4	2	4	2	4	2	3	2	4	2	1	4	2	4	1	2		
101133	2023Q2	2	4	3	3	3	4	4	3	3	3	2	1	4	4	3	4	4	3	3		
101134	2023Q2	4	4	1	2	3	3	3	3	4	3	1	3	4	1	4	4	2	4	1		
101137	2023Q2	1	2	2	2	3	1	4	3	1	3	4	4	3	4	4	3	2	2	2		
101138	2023Q2	2	4	4	2	3	1	4	2	2	2	4	2	3	4	4	3	3	4	3		
101139	2023Q2	3	3	2	4	4	4	4	5	3	2	1	4	3	4	2	2	2	4	2		
101141	2023Q2	3	3	3	1	3	2	4	4	4	4	4	2	3	4	4	3	4	2	3		
101142	2023Q2	2	4	4	2	2	2	4	4	4	2	4	2	3	3	4	1	3	4	2		
101143	2023Q2	4	3	4	3	4	1	1	2	4	4	2	2	4	2	4	2	3	4	3		
101144	2023Q2	3	2	1	2	3	1	4	4	4	4	3	3	3	1	3	3	1	3	2		
101145	2023Q2	3	1	4	3	2	2	4	3	4	3	3	4	3	2	3	1	2	3	4		
101146	2023Q2	4	1	3	2	2	4	4	3	2	4	2	4	3	2	4	2	3	2	4		
101148	2023Q2	4	3	4	3	2	2	4	2	3	2	3	4	4	3	4	2	3	2	4		
101149	2023Q2	2	4	4	3	4	2	2	2	3	2	4	4	2	4	4	1	4	2	1		
101150	2023Q2	3	1	3	3	4	3	4	3	3	3	1	3	3	3	3	4	3	2	4		
101151	2023Q2	2	4	4	4	4	3	4	3	2	2	4	4	3	3	2	2	3	3	2		
101152	2023Q2	4	3	3	3	1	1	2	2	5	3	3	1	4	1	2	4	3	3	2		
101153	2023Q2	3	2	2	2	1	2	4	1	3	3	2	3	4	1	3	4	4	2	4		
101155	2023Q2	3	3	1	2	4	4	2	4	4	5	4	2	1	1	3	3	3	4	4		
101158	2023Q2	3	4	2	4	4	2	2	2	2	4	3	4	4	2	2	2	4	4	2		
101160	2023Q2	3	1	3	2	2	2	3	4	1	1	3	5	4	3	3	2	2	4	3		
101161	2023Q2	1	4	4	2	2	2	4	3	4	3	4	2	2	1	2	3	1	3	3		
101162	2023Q2	3	4	4	4	4	4	2	2	2	4	3	4	3	4	2	3	4	3	1		
101165	2023Q2	3	1	4	2	3	4	4	4	3	2	3	4	2	3	4	3	4	2	4		
101166	2023Q2	4	3	2	4	4	4	3	2	3	4	3	1	4	4	2	2	4	1	3		
101169	2023Q2	2	4	4	4	4	3	3	2	2	3	3	1	3	2	4	4	3	4	3		
101170	2023Q2	3	4	4	2	4	1	2	4	2	3	2	3	3	1	4	2	2	2	2		
101177	2023Q2	1	2	2	4	4	3	4	3	1	4	3	4	4	4	4	4	2	1	1		
101180	2023Q2	2	4	4	3	3	4	3	3	1	3	4	3	3	4	2	4	4	1	3		
101181	2023Q2	4	4	4	3	3	4	4	2	4	4	3	3	4	4	2	4	3	2	2		
101183	2023Q2	3	2	2	3	4	4	4	4	1	2	4	3	4	2	1	2	4	3	4		
101184	2023Q2	1	1	2	3	4	4	2	2	4	4	4	4	4	4	4	4	4	2	3		
101186	2023Q2	1	3	2	4	2	4	2	3	2	2	2	3	3	3	3	3	1	4	1		
101191	2023Q2	3	2	3	2	4	3	2	2	1	1	4	1	3	2	3	4	3	4	3		
101192	2023Q2	3	3	2	4	4	4	2	4	3	3	3	3	3	4	4	3	3	4	3		
101195	2023Q2	4	2	3	1	2	3	2	2	4	5	3	4	3	3	2	3	2	3	1		
101198	2023Q2	3	3	4	3	4	3	2	4	3	4	4	3	4	4	2	3	3	4	4		
101201	2023Q2	3	2	4	1	3	2	4	3	4	3	4	2	3	4	2	4	4	4	3		
101207	2023Q2	2	4	3	3	4	3	4	2	2	3	4	1	3	4	4	4	4	3	3		
101208	2023Q2	4	3	4	1	2	2	2	1	2	1	4	4	4	3	3	1	4	2	3		
101210	2023Q2	3	4	4	2	1	3	2	5	3	3	4	2	4	2	4	2	4	3	4		
101211	2023Q2	4	1	3	1	2	2	3	5	2	4	4	3	3	3	4	4	2	4	4		
101212	2023Q2	3	4	3	4	3	4	4	3	4	2	4	2	3	1	2	3	4	2	1		
101215	2023Q2	2	4	1	2	2	3	4	3	1	4	2	4	1	2	2	4	2	4	2		
101216	2023Q2	3	3	4	1	2	5	4	3	4	2	4	4	3	4	4	3	4	2	2		
101217	2023Q2	2	3	3	4	4	4	2	4	4	3	3	3	3	1	1	1	4	1	3		
101218	2023Q2	4	2	3	4	2	3	4	3	2	3	2	2	3	3	3	2	3	3	3		
101219	2023Q2	3	1	4	2	3	2	3	3	3	4	3	4	4	3	2	4	3	3	3		
101221	2023Q2	3	2	3	4	4	4	3	4	2	4	3	3	4	2	4	4	3	1	3		
101222	2023Q2	2	4	2	3	2	3	4	3	3	4	2	1	4	4	2	2	3	3	1		
101223	2023Q2	1	2	3	3	4	3	4	3	1	3	2	3	4	4	2	3	1	1	2		
101224	2023Q2	2	2	1	2	2	1	2	4	3	2	3	4	3	3	4	3	4	4	2		
101225	2023Q2	1	1	2	3	2	3	1	2	4	4	4	1	2	4	2	3	3	4	3		
101227	2023Q2	2	4	4	1	4	4	2	3	4	2	4	2	1	4	2	4	4	3	2		
101228	2023Q2	4	1	3	2	4	4	3	3	3	3	4	2	4	2	2	2	3	3	2		
101231	2023Q2	4	2	3	1	2	3	4	4	4	4	4	4	3	4	2	4	3	3	2		
101233	2023Q2	4	3	3	4	4	4	3	4	1	1	4	3	2	4	4	4	4	4	2		
101234	2023Q2	3	4	4	2	3	3	4	4	3	2	2	4	1	4	4	3	2	4	4		
